Team,Date,MATCHUP,Home/Away,W/L,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,5/31/18,GSW vs. CLE,FALSE,W,264,124,46,90,51.1,33,54,61.11111111,13,36,36.1,19,20,95,4,34,38,31,10,6,7,18,10
CLE,5/31/18,CLE @ GSW,TRUE,L,264,114,44,99,44.4,34,62,54.83870968,10,37,27,16,22,72.7,19,34,53,18,5,3,11,18,-10
HOU,5/28/18,HOU vs. GSW,FALSE,L,241,92,36,90,40,29,46,63.04347826,7,44,15.9,13,22,59.1,17,27,44,17,13,3,12,17,-9
GSW,5/28/18,GSW @ HOU,TRUE,W,239,101,39,80,48.8,23,41,56.09756098,16,39,41,7,14,50,11,31,42,25,9,7,16,22,9
CLE,5/27/18,CLE @ BOS,TRUE,W,240,87,30,66,45.5,21,31,67.74193548,9,35,25.7,18,25,72,2,39,41,15,2,4,12,21,8
BOS,5/27/18,BOS vs. CLE,FALSE,L,240,79,29,85,34.1,22,46,47.82608696,7,39,17.9,14,19,73.7,11,31,42,18,6,0,5,20,-8
HOU,5/26/18,HOU @ GSW,TRUE,L,239,86,31,77,40.3,16,38,42.10526316,15,39,38.5,9,17,52.9,7,31,38,13,8,2,21,16,-29
GSW,5/26/18,GSW vs. HOU,FALSE,W,238,115,43,87,49.4,27,49,55.10204082,16,38,42.1,13,19,68.4,13,34,47,26,11,10,12,17,29
CLE,5/25/18,CLE vs. BOS,FALSE,W,240,109,41,87,47.1,32,64,50,9,23,39.1,18,22,81.8,15,29,44,16,8,9,9,19,10
BOS,5/25/18,BOS @ CLE,TRUE,L,241,99,38,74,51.4,26,46,56.52173913,12,28,42.9,11,20,55,5,26,31,25,5,2,13,18,-10
HOU,5/24/18,HOU vs. GSW,FALSE,W,240,98,29,78,37.2,16,35,45.71428571,13,43,30.2,27,32,84.4,8,32,40,12,10,3,10,19,4
GSW,5/24/18,GSW @ HOU,TRUE,L,241,94,32,72,44.4,22,46,47.82608696,10,26,38.5,20,23,87,4,37,41,18,7,1,16,21,-4
CLE,5/23/18,CLE @ BOS,TRUE,L,241,83,31,74,41.9,22,40,55,9,34,26.5,12,19,63.2,3,36,39,17,3,7,15,19,-13
BOS,5/23/18,BOS vs. CLE,FALSE,W,240,96,31,85,36.5,18,46,39.13043478,13,39,33.3,21,23,91.3,7,38,45,18,10,6,8,19,13
HOU,5/22/18,HOU @ GSW,TRUE,W,241,95,30,77,39,18,39,46.15384615,12,38,31.6,23,27,85.2,8,33,41,12,7,9,10,19,3
GSW,5/22/18,GSW vs. HOU,FALSE,L,240,92,35,89,39.3,26,62,41.93548387,9,27,33.3,13,14,92.9,16,33,49,14,6,3,16,24,-3
CLE,5/21/18,CLE vs. BOS,FALSE,W,239,111,41,81,50.6,33,58,56.89655172,8,23,34.8,21,29,72.4,9,38,47,15,6,8,18,23,9
BOS,5/21/18,BOS @ CLE,TRUE,L,239,102,35,85,41.2,26,57,45.61403509,9,28,32.1,23,30,76.7,9,28,37,21,9,3,9,26,-9
HOU,5/20/18,HOU @ GSW,TRUE,L,241,85,32,81,39.5,21,47,44.68085106,11,34,32.4,10,13,76.9,10,31,41,19,3,5,19,19,-41
GSW,5/20/18,GSW vs. HOU,FALSE,W,239,126,48,92,52.2,35,60,58.33333333,13,32,40.6,17,18,94.4,11,38,49,20,11,7,8,16,41
CLE,5/19/18,CLE vs. BOS,FALSE,W,242,116,37,76,48.7,20,42,47.61904762,17,34,50,25,30,83.3,8,37,45,23,9,3,14,23,30
BOS,5/19/18,BOS @ CLE,TRUE,L,240,86,29,74,39.2,23,52,44.23076923,6,22,27.3,22,28,78.6,6,28,34,16,4,4,15,25,-30
HOU,5/16/18,HOU vs. GSW,FALSE,W,242,127,45,88,51.1,29,46,63.04347826,16,42,38.1,21,27,77.8,10,37,47,23,8,1,13,24,22
GSW,5/16/18,GSW @ HOU,TRUE,L,238,105,39,85,45.9,30,55,54.54545455,9,30,30,18,22,81.8,9,27,36,21,6,4,15,22,-22
CLE,5/15/18,CLE @ BOS,TRUE,L,239,94,37,80,46.3,27,49,55.10204082,10,31,32.3,10,17,58.8,8,37,45,18,2,5,15,21,-13
BOS,5/15/18,BOS vs. CLE,FALSE,W,239,107,40,92,43.5,30,61,49.18032787,10,31,32.3,17,20,85,11,35,46,24,8,2,5,18,13
HOU,5/14/18,HOU vs. GSW,FALSE,L,240,106,39,85,45.9,26,48,54.16666667,13,37,35.1,15,21,71.4,7,35,42,18,5,3,13,23,-13
GSW,5/14/18,GSW @ HOU,TRUE,W,240,119,42,80,52.5,29,47,61.70212766,13,33,39.4,22,25,88,3,34,37,24,9,4,9,17,13
CLE,5/13/18,CLE @ BOS,TRUE,L,241,83,31,86,36,27,60,45,4,26,15.4,17,20,85,9,31,40,18,4,3,9,12,-25
BOS,5/13/18,BOS vs. CLE,FALSE,W,240,108,43,84,51.2,32,54,59.25925926,11,30,36.7,11,13,84.6,6,42,48,27,6,4,9,17,25
PHI,5/9/18,PHI @ BOS,TRUE,L,241,112,40,82,48.8,32,61,52.45901639,8,21,38.1,24,31,77.4,12,36,48,26,5,6,16,31,-2
BOS,5/9/18,BOS vs. PHI,FALSE,W,240,114,38,85,44.7,31,65,47.69230769,7,20,35,31,41,75.6,13,26,39,18,12,3,10,24,6
UTA,5/8/18,UTA @ HOU,TRUE,L,239,102,38,81,46.9,28,53,52.83018868,10,28,35.7,16,21,76.2,11,30,41,24,5,5,12,18,-10
NOP,5/8/18,NOP @ GSW,TRUE,L,240,104,41,88,46.6,31,64,48.4375,10,24,41.7,12,16,75,4,40,44,26,7,4,14,12,-9
HOU,5/8/18,HOU vs. UTA,FALSE,W,240,112,40,83,48.2,22,44,50,18,39,46.2,14,17,82.4,6,34,40,21,10,8,9,18,10
GSW,5/8/18,GSW vs. NOP,FALSE,W,241,113,48,99,48.5,41,72,56.94444444,7,27,25.9,10,12,83.3,11,41,52,35,10,2,12,18,9
TOR,5/7/18,TOR @ CLE,TRUE,L,241,93,36,79,45.6,32,64,50,4,15,26.7,17,23,73.9,9,23,32,19,3,5,13,24,-35
PHI,5/7/18,PHI vs. BOS,FALSE,W,241,103,38,94,40.4,31,68,45.58823529,7,26,26.9,20,26,76.9,16,37,53,24,6,3,8,23,11
CLE,5/7/18,CLE vs. TOR,FALSE,W,239,128,50,84,59.5,38,58,65.51724138,12,26,46.2,16,20,80,6,31,37,29,9,5,10,21,35
BOS,5/7/18,BOS @ PHI,TRUE,L,240,92,31,75,41.3,20,43,46.51162791,11,32,34.4,19,26,73.1,6,36,42,16,4,10,15,28,-11
UTA,5/6/18,UTA vs. HOU,FALSE,L,240,87,32,83,38.6,25,54,46.2962963,7,29,24.1,16,20,80,8,37,45,16,8,5,16,21,-13
NOP,5/6/18,NOP vs. GSW,FALSE,L,240,92,32,88,36.4,28,62,45.16129032,4,26,15.4,24,30,80,10,41,51,17,7,4,19,21,-26
HOU,5/6/18,HOU @ UTA,TRUE,W,240,100,37,88,42,27,50,54,10,38,26.3,16,17,94.1,9,40,49,15,11,9,13,21,13
GSW,5/6/18,GSW @ NOP,TRUE,W,240,118,46,95,48.4,35,62,56.4516129,11,33,33.3,15,18,83.3,5,40,45,28,11,5,11,20,26
TOR,5/5/18,TOR @ CLE,TRUE,L,239,103,35,75,46.7,22,42,52.38095238,13,33,39.4,20,25,80,12,29,41,14,5,11,17,28,-2
PHI,5/5/18,PHI vs. BOS,FALSE,L,264,98,38,97,39.2,29,67,43.28358209,9,30,30,13,18,72.2,13,37,50,23,8,5,14,14,-3
CLE,5/5/18,CLE vs. TOR,FALSE,W,240,105,38,79,48.1,29,54,53.7037037,9,25,36,20,25,80,6,30,36,18,7,4,10,19,2
BOS,5/5/18,BOS @ PHI,TRUE,W,263,101,41,91,45.1,31,53,58.49056604,10,38,26.3,9,14,64.3,9,40,49,19,9,7,13,20,3
UTA,5/4/18,UTA vs. HOU,FALSE,L,239,92,35,84,41.7,24,55,43.63636364,11,29,37.9,11,15,73.3,5,38,43,17,3,4,16,19,-21
NOP,5/4/18,NOP vs. GSW,FALSE,W,242,119,48,96,50,34,65,52.30769231,14,31,45.2,9,12,75,10,44,54,36,7,3,15,20,19
HOU,5/4/18,HOU @ UTA,TRUE,W,240,113,42,86,48.8,31,50,62,11,36,30.6,18,20,90,3,38,41,26,8,7,8,19,21
GSW,5/4/18,GSW @ NOP,TRUE,L,240,100,35,92,38,26,61,42.62295082,9,31,29,21,26,80.8,10,34,44,22,11,4,12,17,-19
TOR,5/3/18,TOR vs. CLE,FALSE,L,241,110,44,81,54.3,32,51,62.74509804,12,30,40,10,11,90.9,5,30,35,26,2,2,11,24,-18
PHI,5/3/18,PHI @ BOS,TRUE,L,240,103,40,92,43.5,27,59,45.76271186,13,33,39.4,10,14,71.4,16,33,49,30,7,4,11,21,-5
CLE,5/3/18,CLE @ TOR,TRUE,W,241,128,50,84,59.5,39,58,67.24137931,11,26,42.3,17,23,73.9,5,29,34,25,5,3,3,14,18
BOS,5/3/18,BOS vs. PHI,FALSE,W,239,108,37,82,45.1,22,46,47.82608696,15,36,41.7,19,24,79.2,5,36,41,23,7,3,9,16,5
UTA,5/2/18,UTA @ HOU,TRUE,W,241,116,43,83,51.8,28,51,54.90196078,15,32,46.9,15,25,60,5,43,48,26,4,5,17,24,8
HOU,5/2/18,HOU vs. UTA,FALSE,L,238,108,38,95,40,28,58,48.27586207,10,37,27,22,27,81.5,11,38,49,22,11,7,7,21,-8
TOR,5/1/18,TOR vs. CLE,FALSE,L,264,112,39,91,42.9,30,63,47.61904762,9,28,32.1,25,31,80.6,15,35,50,26,2,6,13,22,-1
NOP,5/1/18,NOP @ GSW,TRUE,L,240,116,48,105,45.7,35,68,51.47058824,13,37,35.1,7,9,77.8,10,36,46,33,12,5,13,19,-5
GSW,5/1/18,GSW vs. NOP,FALSE,W,240,121,43,91,47.3,30,51,58.82352941,13,40,32.5,22,27,81.5,7,42,49,36,10,8,16,18,5
CLE,5/1/18,CLE @ TOR,TRUE,W,265,113,42,102,41.2,28,67,41.79104478,14,35,40,15,21,71.4,13,32,45,25,5,5,5,23,1
PHI,4/30/18,PHI @ BOS,TRUE,L,240,101,35,83,42.2,30,57,52.63157895,5,26,19.2,26,35,74.3,11,34,45,22,7,2,12,19,-16
BOS,4/30/18,BOS vs. PHI,FALSE,W,241,117,41,85,48.2,24,50,48,17,35,48.6,18,19,94.7,5,31,36,27,4,4,10,21,16
UTA,4/29/18,UTA @ HOU,TRUE,L,241,96,38,76,50,31,54,57.40740741,7,22,31.8,13,22,59.1,6,31,37,20,11,3,18,20,-14
IND,4/29/18,IND @ CLE,TRUE,L,239,101,36,80,45,26,49,53.06122449,10,31,32.3,19,24,79.2,10,27,37,15,6,0,11,28,-4
HOU,4/29/18,HOU vs. UTA,FALSE,W,241,110,37,82,45.1,20,50,40,17,32,53.1,19,24,79.2,8,35,43,18,10,5,14,21,14
CLE,4/29/18,CLE vs. IND,FALSE,W,239,105,32,74,43.2,22,45,48.88888889,10,29,34.5,31,40,77.5,15,29,44,18,6,4,12,21,4
NOP,4/28/18,NOP @ GSW,TRUE,L,242,101,42,96,43.8,34,71,47.88732394,8,25,32,9,11,81.8,7,35,42,24,7,3,12,24,-22
MIL,4/28/18,MIL @ BOS,TRUE,L,239,96,35,74,47.3,26,47,55.31914894,9,27,33.3,17,18,94.4,4,28,32,21,4,3,15,20,-16
GSW,4/28/18,GSW vs. NOP,FALSE,W,240,123,44,91,48.4,33,64,51.5625,11,27,40.7,24,32,75,13,44,57,33,8,10,13,16,22
BOS,4/28/18,BOS vs. MIL,FALSE,W,240,112,45,84,53.6,36,58,62.06896552,9,26,34.6,13,21,61.9,11,31,42,28,9,4,14,23,16
WAS,4/27/18,WAS vs. TOR,FALSE,L,239,92,32,79,40.5,24,57,42.10526316,8,22,36.4,20,21,95.2,11,31,42,12,3,5,14,19,-10
UTA,4/27/18,UTA vs. OKC,FALSE,W,241,96,37,82,45.1,27,56,48.21428571,10,26,38.5,12,23,52.2,11,29,40,16,9,5,13,17,5
TOR,4/27/18,TOR @ WAS,TRUE,W,240,102,40,90,44.4,33,65,50.76923077,7,25,28,15,19,78.9,16,31,47,18,8,6,6,20,10
OKC,4/27/18,OKC @ UTA,TRUE,L,239,91,37,93,39.8,27,59,45.76271186,10,34,29.4,7,13,53.8,15,34,49,20,6,4,13,21,-5
IND,4/27/18,IND vs. CLE,FALSE,W,241,121,49,87,56.3,34,57,59.64912281,15,30,50,8,14,57.1,9,36,45,27,9,1,7,18,34
CLE,4/27/18,CLE @ IND,TRUE,L,240,87,33,79,41.8,21,41,51.2195122,12,38,31.6,9,16,56.3,7,26,33,16,4,2,14,17,-34
MIL,4/26/18,MIL vs. BOS,FALSE,W,239,97,38,75,50.7,30,49,61.2244898,8,26,30.8,13,21,61.9,7,41,48,19,6,3,9,16,11
BOS,4/26/18,BOS @ MIL,TRUE,L,237,86,30,81,37,20,45,44.44444444,10,36,27.8,16,19,84.2,6,33,39,18,3,3,9,19,-11
WAS,4/25/18,WAS @ TOR,TRUE,L,240,98,37,90,41.1,32,64,50,5,26,19.2,19,22,86.4,14,36,50,21,6,4,15,18,-10
UTA,4/25/18,UTA @ OKC,TRUE,L,240,99,33,81,40.7,20,43,46.51162791,13,38,34.2,20,26,76.9,10,36,46,19,5,6,16,24,-8
TOR,4/25/18,TOR vs. WAS,FALSE,W,239,108,38,82,46.3,27,57,47.36842105,11,25,44,21,28,75,6,29,35,26,9,5,10,18,10
OKC,4/25/18,OKC vs. UTA,FALSE,W,240,107,39,89,43.8,30,68,44.11764706,9,21,42.9,20,24,83.3,7,37,44,13,9,3,8,21,8
MIN,4/25/18,MIN @ HOU,TRUE,L,240,104,40,79,50.6,31,60,51.66666667,9,19,47.4,15,20,75,5,33,38,23,2,3,8,18,-18
IND,4/25/18,IND @ CLE,TRUE,L,240,95,34,71,47.9,28,51,54.90196078,6,20,30,21,27,77.8,7,27,34,23,7,3,14,22,-3
HOU,4/25/18,HOU vs. MIN,FALSE,W,240,122,45,88,51.1,27,44,61.36363636,18,44,40.9,14,19,73.7,8,32,40,29,3,5,4,17,18
CLE,4/25/18,CLE vs. IND,FALSE,W,240,98,31,75,41.3,21,43,48.8372093,10,32,31.3,26,27,96.3,10,27,37,16,6,3,14,21,3
SAS,4/24/18,SAS @ GSW,TRUE,L,240,91,32,86,37.2,25,56,44.64285714,7,30,23.3,20,22,90.9,13,35,48,21,5,0,13,22,-8
PHI,4/24/18,PHI vs. MIA,FALSE,W,239,104,34,81,42,27,53,50.94339623,7,28,25,29,36,80.6,9,44,53,27,7,2,15,20,13
MIL,4/24/18,MIL @ BOS,TRUE,L,239,87,32,87,36.8,23,54,42.59259259,9,33,27.3,14,20,70,7,30,37,21,10,3,11,23,-5
MIA,4/24/18,MIA @ PHI,TRUE,L,240,91,34,88,38.6,24,53,45.28301887,10,35,28.6,13,22,59.1,10,30,40,24,7,6,11,32,-13
GSW,4/24/18,GSW vs. SAS,FALSE,W,240,99,37,83,44.6,32,56,57.14285714,5,27,18.5,20,25,80,8,39,47,25,5,5,10,19,8
BOS,4/24/18,BOS vs. MIL,FALSE,W,240,92,29,69,42,19,38,50,10,31,32.3,24,32,75,5,45,50,22,7,7,17,21,5
UTA,4/23/18,UTA vs. OKC,FALSE,W,238,113,41,91,45.1,29,57,50.87719298,12,34,35.3,19,27,70.4,10,39,49,21,7,7,11,23,17
OKC,4/23/18,OKC @ UTA,TRUE,L,238,96,33,84,39.3,28,58,48.27586207,5,26,19.2,25,30,83.3,9,37,46,10,8,6,14,21,-17
MIN,4/23/18,MIN vs. HOU,FALSE,L,239,100,39,84,46.4,31,62,50,8,22,36.4,14,23,60.9,10,38,48,23,4,1,16,22,-19
HOU,4/23/18,HOU @ MIN,TRUE,W,239,119,40,92,43.5,24,49,48.97959184,16,43,37.2,23,26,88.5,10,36,46,20,11,6,6,17,19
WAS,4/22/18,WAS vs. TOR,FALSE,W,242,106,39,85,45.9,32,68,47.05882353,7,17,41.2,21,31,67.7,9,31,40,23,10,8,13,23,8
TOR,4/22/18,TOR @ WAS,TRUE,L,238,98,34,79,43,27,61,44.26229508,7,18,38.9,23,30,76.7,9,32,41,19,9,7,18,26,-8
SAS,4/22/18,SAS vs. GSW,FALSE,W,240,103,37,81,45.7,22,53,41.50943396,15,28,53.6,14,19,73.7,7,27,34,20,6,4,8,18,13
MIL,4/22/18,MIL vs. BOS,FALSE,W,241,104,38,73,52.1,28,50,56,10,23,43.5,18,24,75,2,34,36,24,7,14,9,24,2
IND,4/22/18,IND vs. CLE,FALSE,L,240,100,40,93,43,28,60,46.66666667,12,33,36.4,8,13,61.5,11,36,47,25,7,5,8,19,-4
GSW,4/22/18,GSW @ SAS,TRUE,L,240,90,34,90,37.8,27,62,43.5483871,7,28,25,15,17,88.2,24,37,61,19,6,2,16,22,-13
CLE,4/22/18,CLE @ IND,TRUE,W,238,104,35,78,44.9,23,44,52.27272727,12,34,35.3,22,26,84.6,8,37,45,17,4,7,11,18,4
BOS,4/22/18,BOS @ MIL,TRUE,L,240,102,36,87,41.4,26,58,44.82758621,10,29,34.5,20,25,80,16,27,43,22,6,3,8,21,-2
UTA,4/21/18,UTA vs. OKC,FALSE,W,240,115,42,80,52.5,29,46,63.04347826,13,34,38.2,18,27,66.7,13,35,48,24,12,5,19,20,13
POR,4/21/18,POR @ NOP,TRUE,L,239,123,50,95,52.6,40,68,58.82352941,10,27,37,13,16,81.3,6,27,33,20,8,2,6,28,-8
PHI,4/21/18,PHI @ MIA,TRUE,W,239,106,36,84,42.9,29,53,54.71698113,7,31,22.6,27,35,77.1,17,40,57,22,12,5,26,25,4
OKC,4/21/18,OKC @ UTA,TRUE,L,239,102,37,78,47.4,23,50,46,14,28,50,14,19,73.7,6,27,33,17,11,3,17,23,-13
NOP,4/21/18,NOP vs. POR,FALSE,W,242,131,45,78,57.7,36,53,67.9245283,9,25,36,32,39,82.1,7,36,43,28,5,6,14,21,8
MIN,4/21/18,MIN vs. HOU,FALSE,W,240,121,45,90,50,30,63,47.61904762,15,27,55.6,16,22,72.7,8,33,41,29,9,3,7,16,16
MIA,4/21/18,MIA vs. PHI,FALSE,L,239,102,41,94,43.6,34,75,45.33333333,7,19,36.8,13,25,52,13,30,43,21,18,4,19,32,-4
HOU,4/21/18,HOU @ MIN,TRUE,L,240,105,37,81,45.7,22,40,55,15,41,36.6,16,25,64,7,32,39,18,4,3,10,18,-16
WAS,4/20/18,WAS vs. TOR,FALSE,W,241,122,47,85,55.3,37,62,59.67741935,10,23,43.5,18,20,90,7,32,39,29,10,8,11,21,19
TOR,4/20/18,TOR @ WAS,TRUE,L,239,103,37,82,45.1,25,54,46.2962963,12,28,42.9,17,19,89.5,8,26,34,20,8,4,18,19,-19
MIL,4/20/18,MIL vs. BOS,FALSE,W,240,116,45,79,57,29,46,63.04347826,16,33,48.5,10,15,66.7,7,30,37,28,8,12,9,27,24
IND,4/20/18,IND vs. CLE,FALSE,W,239,92,34,73,46.6,26,47,55.31914894,8,26,30.8,16,20,80,7,30,37,17,8,3,17,22,2
CLE,4/20/18,CLE @ IND,TRUE,L,238,90,34,77,44.2,24,45,53.33333333,10,32,31.3,12,16,75,9,27,36,17,11,3,16,23,-2
BOS,4/20/18,BOS @ MIL,TRUE,L,240,92,32,80,40,24,56,42.85714286,8,24,33.3,20,28,71.4,17,28,45,17,3,1,16,15,-24
SAS,4/19/18,SAS vs. GSW,FALSE,L,241,97,37,87,42.5,30,54,55.55555556,7,33,21.2,16,20,80,10,31,41,19,8,5,10,21,-13
POR,4/19/18,POR @ NOP,TRUE,L,240,102,37,80,46.3,28,49,57.14285714,9,31,29,19,25,76,11,33,44,19,10,3,24,19,-17
PHI,4/19/18,PHI @ MIA,TRUE,W,239,128,41,81,50.6,23,47,48.93617021,18,34,52.9,28,37,75.7,6,35,41,28,10,5,10,26,20
NOP,4/19/18,NOP vs. POR,FALSE,W,241,119,46,87,52.9,35,60,58.33333333,11,27,40.7,16,19,84.2,6,32,38,27,16,4,12,23,17
MIA,4/19/18,MIA vs. PHI,FALSE,L,241,108,33,73,45.2,17,40,42.5,16,33,48.5,26,35,74.3,5,30,35,26,7,9,15,30,-20
GSW,4/19/18,GSW @ SAS,TRUE,W,242,110,42,82,51.2,32,50,64,10,32,31.3,16,18,88.9,4,35,39,26,8,7,10,16,13
UTA,4/18/18,UTA @ OKC,TRUE,W,240,102,35,84,41.7,26,55,47.27272727,9,29,31,23,33,69.7,15,41,56,22,9,3,14,19,7
OKC,4/18/18,OKC vs. UTA,FALSE,L,239,95,36,90,40,25,55,45.45454545,11,35,31.4,12,18,66.7,10,36,46,22,11,4,13,25,-7
MIN,4/18/18,MIN @ HOU,TRUE,L,240,82,31,80,38.8,26,62,41.93548387,5,18,27.8,15,21,71.4,9,43,52,15,7,7,16,16,-20
IND,4/18/18,IND @ CLE,TRUE,L,239,97,41,78,52.6,35,56,62.5,6,22,27.3,9,12,75,5,31,36,22,8,3,17,23,-3
HOU,4/18/18,HOU vs. MIN,FALSE,W,240,102,35,96,36.5,19,44,43.18181818,16,52,30.8,16,21,76.2,12,42,54,22,8,9,9,17,20
CLE,4/18/18,CLE vs. IND,FALSE,W,240,100,37,73,50.7,26,45,57.77777778,11,28,39.3,15,22,68.2,6,24,30,15,8,2,15,19,3
WAS,4/17/18,WAS @ TOR,TRUE,L,240,119,42,86,48.8,32,64,50,10,22,45.5,25,28,89.3,4,30,34,26,7,3,8,24,-11
TOR,4/17/18,TOR vs. WAS,FALSE,W,240,130,45,87,51.7,32,52,61.53846154,13,35,37.1,27,33,81.8,9,39,48,24,5,8,14,27,11
POR,4/17/18,POR vs. NOP,FALSE,L,239,102,41,91,45.1,29,59,49.15254237,12,32,37.5,8,10,80,13,32,45,20,5,4,16,20,-9
NOP,4/17/18,NOP @ POR,TRUE,W,239,111,43,84,51.2,31,60,51.66666667,12,24,50,13,19,68.4,10,33,43,25,4,4,14,17,9
MIL,4/17/18,MIL @ BOS,TRUE,L,240,106,46,77,59.7,39,60,65,7,17,41.2,7,17,41.2,7,31,38,19,3,4,15,19,-14
BOS,4/17/18,BOS vs. MIL,FALSE,W,241,120,48,90,53.3,35,59,59.3220339,13,31,41.9,11,18,61.1,9,29,38,24,10,6,5,16,14
SAS,4/16/18,SAS @ GSW,TRUE,L,241,101,35,85,41.2,31,57,54.38596491,4,28,14.3,27,30,90,9,26,35,16,10,2,9,21,-15
PHI,4/16/18,PHI vs. MIA,FALSE,L,241,103,40,96,41.7,33,60,55,7,36,19.4,16,22,72.7,17,32,49,22,7,5,14,26,-10
MIA,4/16/18,MIA @ PHI,TRUE,W,239,113,40,82,48.8,31,57,54.38596491,9,25,36,24,30,80,11,35,46,23,8,7,15,27,10
GSW,4/16/18,GSW vs. SAS,FALSE,W,239,116,41,78,52.6,26,47,55.31914894,15,31,48.4,19,20,95,6,33,39,32,5,5,15,24,15
UTA,4/15/18,UTA @ OKC,TRUE,L,239,108,41,87,47.1,30,59,50.84745763,11,28,39.3,15,20,75,9,33,42,18,10,7,14,21,-8
OKC,4/15/18,OKC vs. UTA,FALSE,W,240,116,41,85,48.2,27,56,48.21428571,14,29,48.3,20,23,87,9,37,46,16,8,5,17,19,8
MIN,4/15/18,MIN @ HOU,TRUE,L,240,101,35,80,43.8,27,57,47.36842105,8,23,34.8,23,28,82.1,11,36,47,22,3,2,13,19,-3
MIL,4/15/18,MIL @ BOS,TRUE,L,264,107,40,83,48.2,32,62,51.61290323,8,21,38.1,19,24,79.2,5,37,42,22,8,8,20,31,-6
IND,4/15/18,IND @ CLE,TRUE,W,241,98,36,79,45.6,25,51,49.01960784,11,28,39.3,15,25,60,8,36,44,19,12,4,11,21,18
HOU,4/15/18,HOU vs. MIN,FALSE,W,241,104,39,83,47,29,46,63.04347826,10,37,27,16,23,69.6,8,29,37,15,8,8,11,19,3
CLE,4/15/18,CLE vs. IND,FALSE,L,242,80,30,78,38.5,22,44,50,8,34,23.5,12,20,60,9,37,46,21,7,4,16,23,-18
BOS,4/15/18,BOS vs. MIL,FALSE,W,264,113,39,94,41.5,28,68,41.17647059,11,26,42.3,24,27,88.9,11,34,45,20,8,5,15,21,6
WAS,4/14/18,WAS @ TOR,TRUE,L,241,106,41,86,47.7,33,65,50.76923077,8,21,38.1,16,18,88.9,6,29,35,29,11,3,13,21,-8
TOR,4/14/18,TOR vs. WAS,FALSE,W,240,114,41,77,53.2,25,47,53.19148936,16,30,53.3,16,20,80,5,33,38,26,6,7,17,18,8
SAS,4/14/18,SAS @ GSW,TRUE,L,241,92,32,80,40,23,58,39.65517241,9,22,40.9,19,24,79.2,3,27,30,19,9,4,12,20,-21
POR,4/14/18,POR vs. NOP,FALSE,L,242,95,37,98,37.8,25,59,42.37288136,12,39,30.8,9,12,75,15,37,52,17,10,6,12,15,-2
PHI,4/14/18,PHI vs. MIA,FALSE,W,241,130,45,95,47.4,27,67,40.29850746,18,28,64.3,22,29,75.9,17,33,50,34,9,4,10,23,27
NOP,4/14/18,NOP @ POR,TRUE,W,241,97,41,86,47.7,33,62,53.22580645,8,24,33.3,7,10,70,7,42,49,26,8,12,14,17,2
MIA,4/14/18,MIA @ PHI,TRUE,L,238,103,35,77,45.5,23,51,45.09803922,12,26,46.2,21,31,67.7,9,32,41,25,4,6,16,25,-27
GSW,4/14/18,GSW vs. SAS,FALSE,W,239,113,44,81,54.3,34,59,57.62711864,10,22,45.5,15,22,68.2,10,41,51,32,6,6,15,18,21
GSW,6/12/17,GSW vs. CLE,FALSE,W,241,129,46,90,51.1,32,52,61.53846154,14,38,36.8,23,28,82.1,13,29,42,27,8,2,13,24,9
CLE,6/12/17,CLE @ GSW,TRUE,L,240,120,47,88,53.4,36,64,56.25,11,24,45.8,15,23,65.2,12,28,40,22,6,5,14,22,-9
GSW,6/9/17,GSW @ CLE,TRUE,L,241,116,39,87,44.8,28,48,58.33333333,11,39,28.2,27,36,75,16,24,40,26,5,6,12,27,-19
CLE,6/9/17,CLE vs. GSW,FALSE,W,240,137,46,87,52.9,22,42,52.38095238,24,45,53.3,21,31,67.7,11,30,41,27,6,3,11,24,19
GSW,6/7/17,GSW @ CLE,TRUE,W,241,118,40,83,48.2,24,50,48,16,33,48.5,22,24,91.7,8,36,44,29,8,4,18,28,5
CLE,6/7/17,CLE vs. GSW,FALSE,L,240,113,40,90,44.4,28,46,60.86956522,12,44,27.3,21,25,84,10,27,37,17,9,3,12,25,-5
GSW,6/4/17,GSW vs. CLE,FALSE,W,240,132,46,89,51.7,28,46,60.86956522,18,43,41.9,22,24,91.7,10,43,53,34,5,7,20,19,19
CLE,6/4/17,CLE @ GSW,TRUE,L,239,113,45,100,45,37,71,52.11267606,8,29,27.6,15,19,78.9,10,31,41,27,15,1,9,18,-19
GSW,6/1/17,GSW vs. CLE,FALSE,W,238,113,45,106,42.5,33,73,45.20547945,12,33,36.4,11,16,68.8,14,36,50,31,12,3,4,24,22
CLE,6/1/17,CLE @ GSW,TRUE,L,240,91,30,86,34.9,19,55,34.54545455,11,31,35.5,20,25,80,15,44,59,15,0,6,20,23,-22
CLE,5/25/17,CLE @ BOS,TRUE,W,240,135,48,85,56.5,29,44,65.90909091,19,41,46.3,20,24,83.3,6,32,38,24,13,5,11,21,33
BOS,5/25/17,BOS vs. CLE,FALSE,L,240,102,37,86,43,26,56,46.42857143,11,30,36.7,17,23,73.9,12,27,39,20,7,5,18,23,-33
CLE,5/23/17,CLE vs. BOS,FALSE,W,238,112,44,74,59.5,34,52,65.38461538,10,22,45.5,14,17,82.4,4,33,37,23,5,4,14,16,13
